Node_ID,Node_Type,Trust_Value,Detection_Confidence,Energy,Packets_Forwarded,Packets_Dropped,RREQ_Forwarded,RREP_Forwarded,Forwarding_Ratio,Control_Packet_Ratio,Sequence_Number_Difference,Reply_Count,Suspicious_Activities,Trust_Stability
Node_1,Suspicious,0.81,0.19,0.17,255,237,5,12,0.3,0.07,99,46,3,0.32
Node_2,Normal,0.65,0.58,0.4,12,33,1,16,0.3,0.11,99,47,2,0.82
Node_3,Normal,0.69,0.51,0.37,112,94,17,29,0.35,0.31,32,9,1,0.85
Node_4,Confirmed Black Hole,0.09,0.17,0.46,38,184,4,4,0.93,0.43,53,30,9,0.24
Node_5,Normal,0.18,0.68,0.13,187,42,3,7,0.57,0.13,98,39,1,0.42
Node_6,Normal,0.24,0.46,0.46,324,59,13,35,0.68,0.42,7,32,1,0.59
Node_7,Normal,0.13,0.36,0.87,310,73,1,24,0.29,0.49,42,5,2,0.7
Node_8,Normal,0.8,0.21,0.61,37,79,3,14,0.35,0.02,30,44,2,0.37
Node_9,Normal,0.25,0.66,0.61,337,34,1,20,0.98,0.49,74,30,0,0.52
Node_10,Suspicious,0.37,0.56,0.76,75,425,16,10,0.85,0.21,58,37,10,0.48
Node_11,Normal,0.86,0.76,0.28,32,56,17,38,0.19,0.04,64,4,2,0.72
Node_12,Suspicious,0.2,0.47,0.29,368,301,11,18,0.47,0.43,81,24,6,0.5
Node_13,Normal,0.33,0.84,0.78,139,64,16,27,0.56,0.05,19,32,0,0.76
Node_14,Normal,0.38,0.59,0.58,86,29,6,26,0.31,0.31,56,20,0,0.55
Node_15,Normal,0.6,0.38,0.93,337,34,0,11,0.95,0.46,11,14,2,0.79
Node_16,Normal,0.83,0.57,0.54,30,18,8,22,0.43,0.08,94,33,1,0.84
Node_17,Normal,0.41,0.7,0.32,45,6,16,0,0.36,0.17,42,37,2,0.52
Node_18,Normal,0.19,0.83,0.19,494,18,2,5,0.26,0.17,64,6,0,0.79
Node_19,Normal,0.72,0.59,0.14,135,66,4,13,0.1,0.3,85,20,2,0.31
Node_20,Suspicious,0.1,0.25,0.23,440,267,8,22,0.91,0.2,48,2,1,0.4
Node_21,Normal,0.77,0.84,0.96,473,77,17,38,0.77,0.18,2,35,1,0.46
Node_22,Normal,0.4,0.2,0.54,368,38,17,1,0.56,0.26,62,20,0,0.38
Node_23,Normal,0.84,0.66,0.63,58,53,2,29,0.67,0.33,93,37,2,0.36
Node_24,Normal,0.8,0.74,0.46,373,20,1,10,0.59,0.27,57,7,0,0.81
Node_25,Normal,0.35,0.66,0.36,395,87,19,21,0.2,0.05,19,39,2,0.97
Node_26,Suspicious,0.38,0.5,0.59,404,61,4,10,0.87,0.08,76,48,7,0.18
Node_27,Normal,0.19,0.33,0.2,348,21,13,16,0.23,0.39,89,45,1,0.79
Node_28,Suspicious,0.27,0.8,0.76,126,357,10,27,0.75,0.45,64,20,2,0.14
Node_29,Suspicious,0.68,0.33,0.55,220,225,13,5,0.16,0.29,40,33,9,0.35
Node_30,Normal,0.86,0.83,0.35,259,0,13,39,0.82,0.49,8,0,0,0.74
Node_31,Normal,0.3,0.63,0.42,0,20,12,6,0.5,0.43,71,11,0,0.52
Node_32,Confirmed Black Hole,0.14,0.35,0.9,76,131,15,2,0.16,0.12,82,18,2,0.5
Node_33,Normal,0.2,0.88,0.6,180,38,2,12,0.32,0.5,21,5,2,0.62
Node_34,Normal,0.73,0.68,0.64,69,63,17,36,0.96,0.36,7,7,1,0.36
Node_35,Confirmed Black Hole,0.1,0.3,0.66,240,429,9,28,0.37,0.34,28,3,4,0.53
Node_36,Normal,0.13,0.56,0.4,1,9,5,28,0.72,0.04,53,1,1,0.9
Node_37,Suspicious,0.11,0.41,0.31,185,274,19,31,0.64,0.13,89,26,6,0.38
Node_38,Confirmed Black Hole,0.03,0.52,0.48,422,431,6,39,0.68,0.16,91,10,2,0.17
Node_39,Normal,0.66,0.35,0.53,346,28,9,4,0.22,0.41,33,31,2,0.75
Node_40,Normal,0.2,0.25,0.76,212,52,16,40,0.2,0.13,74,20,0,0.43
Node_41,Normal,0.48,0.74,0.54,95,5,20,1,0.23,0.08,11,31,2,0.86
Node_42,Normal,0.86,0.4,0.51,462,88,0,18,0.17,0.25,35,8,1,0.85
Node_43,Normal,0.33,0.39,0.15,319,37,10,11,0.2,0.15,91,34,0,0.33
Node_44,Normal,0.61,0.3,0.88,70,52,15,6,0.48,0.36,21,6,0,0.84
Node_45,Normal,0.25,0.38,0.65,180,39,13,22,0.96,0.31,53,1,1,0.95
Node_46,Normal,0.12,0.31,0.63,266,36,2,1,0.98,0.16,91,29,2,0.6
Node_47,Normal,0.27,0.8,0.8,484,84,3,14,0.56,0.33,98,33,1,0.6
Node_48,Suspicious,0.12,0.34,0.9,154,429,8,25,0.59,0.29,16,15,5,0.32
Node_49,Normal,0.82,0.68,0.9,70,1,16,29,0.83,0.28,95,31,2,0.73
Node_50,Normal,0.11,0.34,0.16,326,95,14,26,0.28,0.41,41,3,2,0.98
Node_51,Normal,0.26,0.33,0.5,409,26,1,12,0.68,0.29,56,10,0,0.7
Node_52,Suspicious,0.13,0.72,0.39,226,381,18,10,0.54,0.11,22,8,0,0.47
Node_53,Normal,0.17,0.9,0.83,155,66,17,35,0.86,0.08,80,27,2,0.34
Node_54,Normal,0.29,0.45,0.84,170,16,10,3,0.1,0.34,93,29,0,0.84
Node_55,Normal,0.61,0.24,0.51,256,29,7,38,0.74,0.08,76,50,2,0.99
Node_56,Normal,0.34,0.79,0.77,441,19,13,13,0.46,0.17,17,36,0,0.85
Node_57,Confirmed Black Hole,0.13,0.84,0.16,367,160,2,25,0.55,0.27,38,33,3,0.19
Node_58,Normal,0.79,0.18,0.74,171,70,20,22,0.45,0.48,64,9,0,0.48
Node_59,Suspicious,0.4,0.43,0.87,86,411,5,30,0.26,0.26,92,3,10,0.46
Node_60,Normal,0.89,0.35,0.23,210,53,11,9,0.12,0.23,23,15,0,0.3
Node_61,Normal,0.45,0.8,0.86,242,51,7,28,0.99,0.35,79,15,0,0.84
Node_62,Normal,0.1,0.76,0.43,139,15,0,29,0.55,0.46,58,50,1,0.42
Node_63,Normal,0.5,0.88,0.39,272,71,5,26,0.52,0.48,13,44,2,0.58
Node_64,Normal,0.13,0.5,0.21,182,46,5,22,0.73,0.16,9,34,0,0.66
Node_65,Normal,0.8,0.86,0.33,357,74,13,5,0.61,0.16,31,36,1,0.73
Node_66,Normal,0.87,0.63,0.98,260,20,9,29,0.71,0.37,38,25,2,0.96
Node_67,Normal,0.79,0.63,0.76,428,3,13,38,0.91,0.42,83,20,1,0.58
Node_68,Normal,0.59,0.65,0.54,497,2,6,1,0.85,0.41,89,44,0,0.93
Node_69,Normal,0.5,0.57,0.85,101,69,3,3,0.71,0.2,10,42,1,0.65
Node_70,Normal,0.66,0.71,0.99,415,13,8,19,0.8,0.46,44,0,2,0.97
Node_71,Suspicious,0.74,0.15,0.12,84,330,8,18,0.48,0.38,16,18,4,0.5
Node_72,Normal,0.3,0.81,0.25,357,68,7,10,0.79,0.23,40,29,2,0.77
Node_73,Normal,0.58,0.15,0.34,407,2,9,3,0.58,0.25,34,13,2,0.34
Node_74,Normal,0.82,0.55,0.48,459,93,1,36,0.75,0.18,49,6,0,0.93
Node_75,Normal,0.12,0.44,0.78,129,17,0,14,0.15,0.42,91,12,1,0.64
Node_76,Normal,0.28,0.31,0.85,379,61,20,4,0.96,0.14,11,48,1,0.99
Node_77,Normal,0.21,0.49,0.78,121,18,12,9,0.45,0.11,60,17,0,0.88
Node_78,Normal,0.19,0.28,0.91,406,37,19,15,0.82,0.34,40,24,1,0.59
Node_79,Normal,0.36,0.29,0.94,34,99,3,15,0.54,0.31,12,48,0,0.98
Node_80,Confirmed Black Hole,0.03,0.16,0.12,87,277,5,1,0.75,0.12,100,35,8,0.51
Node_81,Suspicious,0.83,0.22,0.88,8,46,14,35,0.51,0.05,78,44,3,0.41
Node_82,Normal,0.24,0.3,0.81,125,0,0,38,0.72,0.3,16,17,0,0.65
Node_83,Normal,0.63,0.78,0.82,303,86,6,3,0.23,0.4,67,41,1,0.82
Node_84,Normal,0.31,0.46,0.74,242,18,10,15,0.69,0.46,4,24,1,0.88
Node_85,Normal,0.59,0.55,0.4,133,58,12,0,0.95,0.04,94,35,2,0.32
Node_86,Normal,0.59,0.11,0.5,170,31,1,9,0.36,0.31,12,2,1,0.82
Node_87,Normal,0.66,0.77,0.5,27,93,3,33,0.42,0.24,64,21,1,0.38
Node_88,Suspicious,0.47,0.32,0.8,315,254,5,17,0.37,0.02,38,15,2,0.15
Node_89,Normal,0.6,0.59,0.65,70,15,19,7,0.98,0.09,62,2,0,0.42
Node_90,Normal,0.57,0.89,0.16,353,77,19,20,0.39,0.45,100,48,1,0.84
Node_91,Normal,0.14,0.51,0.26,329,95,5,18,0.99,0.3,20,18,1,0.81
Node_92,Normal,0.87,0.39,0.95,265,86,12,8,0.24,0.42,37,47,2,0.49
Node_93,Suspicious,0.81,0.78,0.3,390,9,11,9,0.8,0.39,56,21,1,0.46
Node_94,Suspicious,0.78,0.18,0.46,103,446,16,35,0.88,0.34,78,46,4,0.26
Node_95,Confirmed Black Hole,0.04,0.15,0.25,211,416,5,27,0.66,0.46,44,9,8,0.5
Node_96,Normal,0.83,0.3,0.23,304,25,7,34,0.15,0.05,76,34,2,0.9
Node_97,Normal,0.22,0.23,0.14,259,95,4,26,0.24,0.5,53,48,1,0.61
Node_98,Suspicious,0.66,0.45,0.99,306,124,5,12,0.54,0.18,23,41,6,0.1
Node_99,Normal,0.62,0.17,0.69,98,75,11,32,0.41,0.33,0,49,2,0.7
Node_100,Normal,0.42,0.11,0.37,118,80,4,2,0.34,0.42,94,14,2,0.45
Node_101,Normal,0.81,0.15,0.95,303,46,2,20,0.36,0.14,36,47,1,0.5
Node_102,Normal,0.13,0.36,0.49,54,73,9,9,0.96,0.34,39,21,1,0.61
Node_103,Suspicious,0.72,0.26,0.19,164,147,12,28,0.67,0.39,98,12,6,0.46
Node_104,Normal,0.69,0.14,0.24,499,25,1,34,0.27,0.49,95,5,2,0.87
